pr_auc,roc_auc,model,resampler,dataset
0.6873680500697816,0.9308127477328227,Elastic_L100_C10,No Resampling,baseline_easy_w5_n5_d0.csv
0.149591724463581,0.7972636815920398,Elastic_L100_C10,Manual Upsampling,high_drift_w3_n10_d60.csv
0.14571726177689975,0.8042363937886325,Elastic_L100_C10,SMOTE,high_drift_w3_n10_d60.csv
0.13925737416459477,0.7991858887381275,Elastic_L100_C10,ADASYN,high_drift_w3_n10_d60.csv
0.17210799074753247,0.8027664706769184,Elastic_L100_C10,Borderline SMOTE,high_drift_w3_n10_d60.csv
0.14571726177689975,0.8042363937886325,Elastic_L100_C10,SMOTETomek,high_drift_w3_n10_d60.csv
0.13622376409287584,0.8027853158450173,Elastic_L100_C10,SMOTEENN,high_drift_w3_n10_d60.csv
0.1786899110109843,0.7969810040705564,Elastic_L100_C10,Random Undersample,high_drift_w3_n10_d60.csv
0.15676292652267587,0.7875961103573044,Elastic_L100_C10,Cluster Centroids,high_drift_w3_n10_d60.csv
0.1488704682926083,0.7950399517563697,Elastic_L100_C10,No Resampling,high_drift_w3_n10_d60.csv
0.033424723403453344,0.6216653193209378,Elastic_L100_C10,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv
0.03653877990610006,0.6341023568186058,Elastic_L100_C10,SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03736759598820003,0.6327342826938623,Elastic_L100_C10,ADASYN,imbalanced_sparse_w0_n10_d10.csv
0.025730499375334764,0.662458802313289,Elastic_L100_C10,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03653877990610006,0.6341023568186058,Elastic_L100_C10,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv
0.03566449995770102,0.6337914308811641,Elastic_L100_C10,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv
0.019043424812399807,0.5971643554505317,Elastic_L100_C10,Random Undersample,imbalanced_sparse_w0_n10_d10.csv
0.04445580485763129,0.5969777998880667,Elastic_L100_C10,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv
0.021901842671842715,0.6845967290591382,Elastic_L100_C10,No Resampling,imbalanced_sparse_w0_n10_d10.csv
0.1484510274719439,0.7731066044508255,Elastic_L100_C10,Manual Upsampling,mixed_realistic_w4_n15_d30.csv
0.1415541004999493,0.7723289064369467,Elastic_L100_C10,SMOTE,mixed_realistic_w4_n15_d30.csv
0.15869520693789743,0.7749910265613784,Elastic_L100_C10,ADASYN,mixed_realistic_w4_n15_d30.csv
0.15015685115324764,0.7679020100502513,Elastic_L100_C10,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv
0.1415541004999493,0.7723289064369467,Elastic_L100_C10,SMOTETomek,mixed_realistic_w4_n15_d30.csv
0.1413303734816203,0.7723887293610912,Elastic_L100_C10,SMOTEENN,mixed_realistic_w4_n15_d30.csv
0.13266854075775303,0.7733309404163674,Elastic_L100_C10,Random Undersample,mixed_realistic_w4_n15_d30.csv
0.16182321087543955,0.7692928930366116,Elastic_L100_C10,Cluster Centroids,mixed_realistic_w4_n15_d30.csv
0.1490359429604674,0.7773839435271597,Elastic_L100_C10,No Resampling,mixed_realistic_w4_n15_d30.csv
0.038800650217228644,0.5828715106732347,Elastic_L100_C10,Manual Upsampling,noisy_overlap_w2_n20_d0.csv
0.03900132702506427,0.59061986863711,Elastic_L100_C10,SMOTE,noisy_overlap_w2_n20_d0.csv
0.039431706258436006,0.5902350164203612,Elastic_L100_C10,ADASYN,noisy_overlap_w2_n20_d0.csv
0.03372217016626837,0.5767651888341544,Elastic_L100_C10,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv
