pr_auc,roc_auc,model,resampler,dataset,baseline_pr_auc,beats_baseline
0.17860688379220604,0.7969244685662596,Elastic_L100_C10,Random Undersample,high_drift_w3_n10_d60.csv,0.0356,True
0.15692041727454123,0.7877468717020956,Elastic_L100_C10,Cluster Centroids,high_drift_w3_n10_d60.csv,0.0356,True
0.14899253200101314,0.7950964872606663,Elastic_L100_C10,No Resampling,high_drift_w3_n10_d60.csv,0.0356,True
0.033428647611192616,0.6215409489459611,Elastic_L100_C10,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03650738594365936,0.6338536160686525,Elastic_L100_C10,SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03732997776468729,0.632485541943909,Elastic_L100_C10,ADASYN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.02571521350528128,0.661899135625894,Elastic_L100_C10,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03650738594365936,0.6338536160686525,Elastic_L100_C10,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.0356834056908203,0.6339779864436291,Elastic_L100_C10,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.019193373151656642,0.59722654063802,Elastic_L100_C10,Random Undersample,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.044158746469740405,0.5955475405758348,Elastic_L100_C10,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.016993075838146444,0.62570735650768,Elastic_L100_C10,No Resampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.1484527488082517,0.7731215601818617,Elastic_L100_C10,Manual Upsampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1414549874279669,0.7722989949748744,Elastic_L100_C10,SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.158665053524854,0.7749312036372338,Elastic_L100_C10,ADASYN,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.15018883035270875,0.7679319215123235,Elastic_L100_C10,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1414549874279669,0.7722989949748744,Elastic_L100_C10,SMOTETomek,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14133413742540704,0.7724635080162718,Elastic_L100_C10,SMOTEENN,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.13271932333610648,0.7733309404163675,Elastic_L100_C10,Random Undersample,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.16260616011709636,0.7695172290021537,Elastic_L100_C10,Cluster Centroids,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14895308137569274,0.7773540320650874,Elastic_L100_C10,No Resampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.03879878943713716,0.5828458538587848,Elastic_L100_C10,Manual Upsampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039000238149569204,0.5906711822660098,Elastic_L100_C10,SMOTE,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039431706258436006,0.5902350164203612,Elastic_L100_C10,ADASYN,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03370480458948236,0.5767395320197044,Elastic_L100_C10,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039000238149569204,0.5906711822660098,Elastic_L100_C10,SMOTETomek,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03915999367020541,0.5913382594417077,Elastic_L100_C10,SMOTEENN,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039190440240746235,0.5982912561576355,Elastic_L100_C10,Random Undersample,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.038563276685971926,0.5704022988505747,Elastic_L100_C10,Cluster Centroids,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03992304723857375,0.5845392036124795,Elastic_L100_C10,No Resampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.6826883882252895,0.930002822466836,Elastic_L0_C10,Manual Upsampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6689916607190777,0.9280884536563216,Elastic_L0_C10,SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5180462151335139,0.9035452637779332,Elastic_L0_C10,ADASYN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5171483414517519,0.9150437482359582,Elastic_L0_C10,Borderline SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6688447417069057,0.9280884536563218,Elastic_L0_C10,SMOTETomek,baseline_easy_w5_n5_d0.csv,0.0552,True
